"year","spend","country"
2014,2.27592,"France"
2015,2.22702,"France"
2016,2.22238,"France"
2017,2.19888,"France"
2018,2.19666,"France"
2019,2.19179,"France"
2020,2.27464,"France"
2021,2.21808,"France"
2022,2.23312,"France"
2014,2.87784,"Germany"
2015,2.93379,"Germany"
2016,2.94039,"Germany"
2017,3.0471,"Germany"
2018,3.11011,"Germany"
2019,3.16701,"Germany"
2020,3.13136,"Germany"
2021,3.12882,"Germany"
2022,3.13236,"Germany"
2014,3.36788,"Japan"
2015,3.24071,"Japan"
2016,3.10666,"Japan"
2017,3.16636,"Japan"
2018,3.2192,"Japan"
2019,3.21824,"Japan"
2020,3.26458,"Japan"
2021,3.27677,"Japan"
2022,3.40537,"Japan"
2014,4.07786,"Korea, Rep."
2015,3.9782,"Korea, Rep."
2016,3.98704,"Korea, Rep."
2017,4.29206,"Korea, Rep."
2018,4.51633,"Korea, Rep."
2019,4.62703,"Korea, Rep."
2020,4.79571,"Korea, Rep."
2021,4.90988,"Korea, Rep."
2022,5.21081,"Korea, Rep."
2014,2.26488,"United Kingdom"
2015,2.27566,"United Kingdom"
2016,2.32052,"United Kingdom"
2017,2.32602,"United Kingdom"
2018,2.71124,"United Kingdom"
2019,2.6708,"United Kingdom"
2020,2.93883,"United Kingdom"
2021,2.89711,"United Kingdom"
2014,2.70881,"United States"
2015,2.77328,"United States"
2016,2.83676,"United States"
2017,2.88357,"United States"
2018,2.99045,"United States"
2019,3.14704,"United States"
2020,3.42467,"United States"
2021,3.48313,"United States"
2022,3.58623,"United States"
